肇因碼,肇因描述,排名,車種代碼,車種名稱,涉入人次,佔該肇因比例(%)
108,恍神、緊張、心不在焉分心駕駛,1,C03,普通重型機車,2363,66.62
108,恍神、緊張、心不在焉分心駕駛,2,B03,自用小客車,585,16.49
108,恍神、緊張、心不在焉分心駕駛,3,B01,計程車,162,4.57
108,恍神、緊張、心不在焉分心駕駛,4,F01,腳踏自行車,107,3.02
108,恍神、緊張、心不在焉分心駕駛,5,B12,自用小貨車,77,2.17
44,尚未發現肇事因素（駕駛者）,1,C03,普通重型機車,10095,64.79
44,尚未發現肇事因素（駕駛者）,2,B03,自用小客車,2838,18.21
44,尚未發現肇事因素（駕駛者）,3,B01,計程車,814,5.22
44,尚未發現肇事因素（駕駛者）,4,F01,腳踏自行車,380,2.44
44,尚未發現肇事因素（駕駛者）,5,B12,自用小貨車,248,1.59
100,變換車道不當,1,C03,普通重型機車,1233,55.29
100,變換車道不當,2,B03,自用小客車,494,22.15
100,變換車道不當,3,B01,計程車,226,10.13
100,變換車道不當,4,B12,自用小貨車,56,2.51
100,變換車道不當,5,C04,普通輕型機車,51,2.29
16,未保持行車安全距離,1,C03,普通重型機車,1876,79.06
16,未保持行車安全距離,2,B03,自用小客車,237,9.99
16,未保持行車安全距離,3,B01,計程車,64,2.7
16,未保持行車安全距離,4,B12,自用小貨車,40,1.69
16,未保持行車安全距離,5,C04,普通輕型機車,35,1.47
9,右轉彎未依規定,1,B03,自用小客車,853,53.05
9,右轉彎未依規定,2,C03,普通重型機車,377,23.45
9,右轉彎未依規定,3,B01,計程車,147,9.14
9,右轉彎未依規定,4,B12,自用小貨車,86,5.35
9,右轉彎未依規定,5,B02,租賃車,69,4.29
