車種代碼,車種名稱,涉入件數,佔比(%)
C03,普通重型機車,26539,52.15
B03,自用小客車,9966,19.58
H02,乘客,3380,6.64
B01,計程車,2866,5.63
H01,行人,1833,3.6
F01,腳踏自行車,1432,2.81
B12,自用小貨車,1138,2.24
B02,租賃車,902,1.77
C04,普通輕型機車,736,1.45
A02,民營公車,458,0.9
C02,大型重型機車2(250-550C.C.),292,0.57
F02,電動輔助自行車,153,0.3
B11,營業用小貨車,142,0.28
C01,大型重型機車1(550C.C.以上),134,0.26
B13,租賃小貨車,119,0.23
A12,自用大貨車,116,0.23
F03,微型電動二輪車,109,0.21
A04,民營客運,102,0.2
H03,其他人,90,0.18
A05,遊覽車,65,0.13
A11,營業用大貨車,57,0.11
G06,其他車,50,0.1
E03,警備車,30,0.06
F07,個人行動運具,26,0.05
A31,營業用半聯結車,23,0.05
A41,營業用曳引車,22,0.04
G03,動力機械,17,0.03
A01,公營公車,16,0.03
E05,其他特種車,13,0.03
E01,救護車,11,0.02
A03,公營客運,9,0.02
H04,輔助代步器材,8,0.02
F06,其他慢車,7,0.01
A06,自用大客車,6,0.01
A32,自用半聯結車,6,0.01
D03,軍用小型車,4,0.01
E02,消防車,4,0.01
A42,自用曳引車,3,0.01
C05,小型輕型機車,2,0.0
G01,拼裝車,2,0.0
D01,軍用大客車,1,0.0
G04,拖車(架),1,0.0
